"","Anio","Fecha","California_Quebec","RGGI","UE","Corea","NuevaZelanda","PIB_RGGI","PIB_UE","PIB_NuevaZelanda","PIB_Corea","PIB_CaliforniaQuebec"
"1",2008,"2008-03-01",NA,NA,33.53108623,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"2",2008,"2008-04-01",NA,NA,37.60718248,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"3",2008,"2008-05-01",NA,NA,38.98973125,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"4",2008,"2008-06-01",NA,NA,41.80730522,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"5",2008,"2008-07-01",NA,NA,39.94532473,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"6",2008,"2008-08-01",NA,NA,34.76213787,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"7",2008,"2008-09-01",NA,3.07,34.09686402,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"8",2008,"2008-10-01",NA,NA,27.82075641,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"9",2008,"2008-11-01",NA,NA,21.74587559,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"10",2008,"2008-12-01",NA,3.38,20.2293563,NA,NA,12734873.9,16297628.24,133131.3699,1047339.01,8568372.252
"11",2009,"2009-01-01",NA,NA,17.0677934,NA,NA,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"12",2009,"2009-02-01",NA,NA,12.12628795,NA,NA,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"13",2009,"2009-03-01",NA,3.51,14.61579636,NA,10.58478492,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"14",2009,"2009-04-01",NA,NA,17.03329391,NA,11.418,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"15",2009,"2009-05-01",NA,NA,19.83913296,NA,11.97061493,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"16",2009,"2009-06-01",NA,3.23,18.37557191,NA,12.74518689,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"17",2009,"2009-07-01",NA,NA,19.35955637,NA,12.86986793,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"18",2009,"2009-08-01",NA,NA,20.84826571,NA,13.50762259,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"19",2009,"2009-09-01",NA,2.19,20.55044026,NA,14.04298443,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"20",2009,"2009-10-01",NA,NA,20.85066446,NA,14.76132397,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"21",2009,"2009-11-01",NA,NA,20.17360458,NA,14.61429274,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"22",2009,"2009-12-01",NA,2.05,19.76488171,NA,14.32510707,12886814.1,14763782.46,121373.6023,943941.8762,8280157.9
"23",2010,"2010-01-01",NA,NA,18.49450079,NA,14.74304537,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"24",2010,"2010-02-01",NA,NA,17.63128731,NA,14.22579145,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"25",2010,"2010-03-01",NA,2.07,17.47979561,NA,14.33527819,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"26",2010,"2010-04-01",NA,NA,19.09507908,NA,14.53138233,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"27",2010,"2010-05-01",NA,NA,19.20379733,NA,13.32910859,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"28",2010,"2010-06-01",NA,1.88,18.71674036,NA,12.22563095,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"29",2010,"2010-07-01",NA,NA,18.17461227,NA,13.05155145,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"30",2010,"2010-08-01",NA,NA,18.83078035,NA,13.23480027,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"31",2010,"2010-09-01",NA,1.86,20.00617095,NA,14.30527397,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"32",2010,"2010-10-01",NA,NA,21.19151232,NA,14.61760738,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"33",2010,"2010-11-01",NA,NA,20.17350415,NA,15.94870337,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"34",2010,"2010-12-01",NA,1.86,18.83994493,NA,15.44571141,13423948.5,14557639.62,146517.5412,1144066.965,8477680.06
"35",2011,"2011-01-01",NA,NA,19.0025354,NA,15.22669017,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"36",2011,"2011-02-01",NA,NA,19.94998777,NA,14.55405466,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"37",2011,"2011-03-01",NA,1.89,22.06087211,NA,15.09516996,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"38",2011,"2011-04-01",NA,NA,23.54923797,NA,16.01846585,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"39",2011,"2011-05-01",NA,NA,23.52654595,NA,16.03464184,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"40",2011,"2011-06-01",NA,1.89,21.60995161,NA,15.8563044,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"41",2011,"2011-07-01",NA,NA,17.8717915,NA,14.83405901,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"42",2011,"2011-08-01",NA,NA,17.39769908,NA,12.58857116,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"43",2011,"2011-09-01",NA,1.89,16.05832364,NA,12.48885714,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"44",2011,"2011-10-01",NA,NA,14.10518763,NA,10.67375504,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"45",2011,"2011-11-01",NA,NA,12.48297631,NA,10.05906492,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"46",2011,"2011-12-01",NA,1.89,9.758143401,NA,7.52379126,13689761.7,15759494.36,168291.3571,1253223.045,8610717.951
"47",2012,"2012-01-01",NA,NA,8.895557138,NA,5.849360909,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"48",2012,"2012-02-01",NA,NA,11.20080867,NA,6.657496704,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"49",2012,"2012-03-01",NA,1.93,10.05676182,NA,6.327980958,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"50",2012,"2012-04-01",NA,NA,9.148792551,NA,6.02419839,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"51",2012,"2012-05-01",NA,NA,8.512297891,NA,4.950647375,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"52",2012,"2012-06-01",NA,1.93,8.893066368,NA,4.912116533,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"53",2012,"2012-07-01",NA,NA,9.149871542,NA,4.535111054,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"54",2012,"2012-08-01",NA,NA,9.364662817,NA,3.867799811,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"55",2012,"2012-09-01",NA,1.93,9.941955595,NA,3.213490155,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"56",2012,"2012-10-01",NA,NA,10.20418778,NA,2.613942634,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"57",2012,"2012-11-01",NA,NA,9.549659876,NA,2.349601508,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"58",2012,"2012-12-01",NA,1.93,8.693510898,NA,2.173756912,14292448,14636200.27,176206.6597,1278427.634,8807643.8
"59",2013,"2013-01-01",NA,NA,6.914615653,NA,2.185334802,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"60",2013,"2013-02-01",NA,NA,6.165201575,NA,1.656622327,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"61",2013,"2013-03-01",NA,2.8,5.32609506,NA,1.628760444,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"62",2013,"2013-04-01",NA,NA,4.987097143,NA,1.77248884,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"63",2013,"2013-05-01",NA,NA,4.59239858,NA,1.634242513,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"64",2013,"2013-06-01",NA,3.21,5.603240438,NA,1.444628277,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"65",2013,"2013-07-01",NA,NA,5.518677641,NA,1.614568412,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"66",2013,"2013-08-01",NA,NA,5.876749227,NA,2.40407036,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"67",2013,"2013-09-01",NA,2.67,6.972691202,NA,3.583940819,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"68",2013,"2013-10-01",NA,NA,6.672451905,NA,3.379539494,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"69",2013,"2013-11-01",NA,NA,6.094937837,NA,2.810149599,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"70",2013,"2013-12-01",NA,3,6.545752933,NA,2.892289969,14650998.6,15299732.28,190906.5751,1370795.2,9066201.107
"71",2014,"2014-01-01",NA,NA,6.787791529,NA,2.734453327,15164778.5,15652098.62,201313.4972,1484318.22,9355051.605
"72",2014,"2014-02-01",NA,NA,8.8916835,NA,2.718818429,15164778.5,15652098.62,201313.4972,1484318.22,9355051.605
"73",2014,"2014-03-01",NA,4,8.442929186,NA,2.587189377,15164778.5,15652098.62,201313.4972,1484318.22,9355051.605
"74",2014,"2014-04-01",NA,NA,7.202528125,NA,2.636342602,15164778.5,15652098.62,201313.4972,1484318.22,9355051.605
"75",2014,"2014-05-01",NA,NA,6.998161565,NA,3.272022854,15164778.5,15652098.62,201313.4972,1484318.22,9355051.605
